Facility_Mnemonic,Location_Mnemonic,Coid,Network_Mnemonic_CS,Facility_Desc
COCQP     ,GH.PDOC   ,6659,GAA ,Polk Medical Center
COCWF     ,AF.100**  ,30504,CAC ,West Hills Hospital & Medical 
COCPG     ,F.N       ,53607,OKA ,DBA Surgicare Midtown
COCSO     ,H.SNF     ,34242,TNA ,Southern Hills Medical Center
COCBM     ,V.CRDL    ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.LMGT    ,34318,TXG ,Medical City Fort Worth
COCST     ,X.END     ,39307,TXB ,Las Palmas Medical Center
COCCBA    ,L.RADMOP  ,6676,TXI ,St David's Medical Center
COCRR     ,H.NSY3    ,34321,TXA ,Rio Grande Regional Hospital
COCER_O   ,W.MRI     ,25901,OKA ,Edmond OUMC
COCLR     ,SM.DI     ,30936,FLG ,Largo Medical Center
COCBLM    ,K.DIAB    ,9730,KSA ,Baptist-Lutheran Medical Cente
COCUB     ,X.RRUS    ,27200,COA ,P-SL Medical Center
COCAS     ,K.HBO     ,34320,TXI ,South Austin Medical Center
COCPN_O   ,EUR.ORLST ,33608,OKA ,OU Medical Center
COCSJ     ,J.DIA     ,34357,TXA ,Spring Branch Medical Center
COCID     ,D.PC      ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.STROKE  ,34372,TXG ,Medical City Lewisville
COCCT     ,M.SOCSERW ,34222,TNA ,Centennial Medical Center
COCNW     ,H.MNT     ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.LOWMRI ,27300,COA ,Rose Medical Center
COCOH     ,K.MICU    ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.MICU.D  ,34224,TNB ,Parkridge Medical Center
COCBR     ,H.LB      ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.CYT     ,34223,TNA ,Summit Medical Center
COCZR     ,H.TEST    ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.2WW     ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.CPR     ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.MUE     ,30555,CAC ,Los Robles Hospital And Medica
COCCD     ,AF.ENDO   ,36244,TNA ,Centennial Medical Center At A
COCBP     ,Y.ORLWW   ,30951,FLG ,Regional Medical Center Bayone
COCNP     ,E.IT      ,30941,FLG ,Medical Center of Trinity
COCWR     ,H.AHHPNS  ,30928,FLI ,West Florida Hospital
COCAA     ,E.OSMT    ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.SLEEP  ,27100,COA ,Swedish Medical Center
COCNV     ,G.OP      ,34293,TNA ,Skyline Medical Center
COCKN     ,501-HOLD  ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,HR.ER     ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.OR1    ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.ERPEDI  ,30916,FLL ,North Florida Regional Medical
COCMTA    ,J.BO      ,26109,TXF ,Methodist Texsan Hospital
COCUH     ,U.NM      ,35940,FLB ,University Hospital
COCNH     ,N.4FL1    ,34329,TXG ,Medical City North Hills
COCSW     ,W.EDI     ,35955,FLC ,Southwest Florida Reg Med Cent
COCYK     ,GM.NSW    ,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.CONS    ,34327,TXA ,West Houston Medical Center
COCHN     ,E.OHS     ,34296,TNA ,Hendersonville Medical Center
COCGO     ,M.ICU     ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.FBCSEC  ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.PRH2    ,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,LZ.CPN    ,8158,GAA ,Coliseum Medical Centers
COCCE     ,NUCLEAR   ,35932,FLD ,CEDARS MEDICAL CENTER
COCDL     ,H.7S      ,34325,TXG ,Medical City Dallas
COCTU     ,D.ZCOLDAUT,31810,LAB ,Tulane University Hospital & C
COCRC     ,L.ZITU    ,9727,KSA ,Research Medical Center
COCRM     ,M.MOB     ,31052,GAA ,Redmond Regional Medical Cente
COCOS     ,N.STH     ,30902,FLF ,Osceola Regional Medical Cente
COCJR     ,z.FIT.AR10,34627,VAA ,John Randolph Medical Center
COCTR     ,D.TWC     ,34001,SCA ,Trident Regional Medical Cente
COCGP     ,G.IC      ,30901,FLG ,St Petersburg General Hospital
COCSN     ,N.BO      ,34335,TXF ,Methodist Specialty & Transpla
COCAT     ,V.CONS    ,30920,FLE ,Aventura Hospital & Medical Ce
COCSR     ,AS.TRANS  ,27150,COA ,Sky Ridge Medical Center
COCTG     ,MIC.H     ,31408,INA ,Terre Haute Regional Hospital
COCDT     ,D.PTST    ,36930,FLC ,Doctors Hospital Of Sarasota
COCSZ     ,D.FNS     ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.PDOC    ,30954,FLI ,Capital Regional Medical Cente
COCWM     ,H.CSS     ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.FS      ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.PARR    ,34310,TXG ,Medical City Plano
COCLV     ,F.OBED    ,31824,LAB ,Lakeview Regional Medical Cent
COCMO     ,G.NSY     ,32819,NVA ,Mountainview Hospital
COCDO     ,D.PHSK    ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,GV.PARRETT,26620,TNB ,Parkridge West Hospital
COCWY     ,W.WSLP    ,31608,KSB ,Wesley Medical Center
COCCC     ,D.JARTHSPC,34632,VAA ,CJW Medical Center
.         ,DMATLAB   ,37969,FLJ ,JFK Medical Center
COCNB     ,F.ORTHOD  ,27450,COA ,North Suburban
COCDR     ,G.RM      ,38329,TXG ,Medical City Denton
COCCM     ,Z.HPT     ,9726,KSA ,Centerpoint Medical Center
COCMT     ,M.CLNM    ,34392,TXF ,Metropolitan Methodist Hospita
COCQP     ,GH.REDO   ,6659,GAA ,Polk Medical Center
COCWF     ,AF.BICU   ,30504,CAC ,West Hills Hospital & Medical 
COCPG     ,F.R       ,53607,OKA ,DBA Surgicare Midtown
COCSO     ,H.OPTI    ,34242,TNA ,Southern Hills Medical Center
COCBM     ,V.DBT     ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.EKG     ,34318,TXG ,Medical City Fort Worth
COCST     ,STINFC    ,39307,TXB ,Las Palmas Medical Center
COCCBA    ,L.DS      ,6676,TXI ,St David's Medical Center
COCRR     ,H.ERCM    ,34321,TXA ,Rio Grande Regional Hospital
COCER_O   ,WF.RAD    ,25901,OKA ,Edmond OUMC
COCLR     ,SM.DS     ,30936,FLG ,Largo Medical Center
COCBLM    ,K.INFCLIN ,9730,KSA ,Baptist-Lutheran Medical Cente
COCUB     ,X.SYNAGIS ,27200,COA ,P-SL Medical Center
COCAS     ,M.URC     ,34320,TXI ,South Austin Medical Center
COCPN_O   ,CFLORES   ,33608,OKA ,OU Medical Center
COCSJ     ,J.3SW     ,34357,TXA ,Spring Branch Medical Center
COCID     ,R.BINCOR  ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.EST     ,34372,TXG ,Medical City Lewisville
COCCT     ,M.MKTSH   ,34222,TNA ,Centennial Medical Center
COCNW     ,J.HIRS    ,30995,FLB ,Northwest Medical Center
COCYE     ,PARMCOCYE ,27300,COA ,Rose Medical Center
COCOH     ,K.AB      ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.ATH     ,34224,TNB ,Parkridge Medical Center
COCBR     ,H.5SIC    ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.MOB II  ,34223,TNA ,Summit Medical Center
COCZR     ,H.LOA     ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.SCAD    ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.PT      ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.NU      ,30555,CAC ,Los Robles Hospital And Medica
COCCD     ,AF.RHERO  ,36244,TNA ,Centennial Medical Center At A
COCBP     ,Y.PA      ,30951,FLG ,Regional Medical Center Bayone
COCNP     ,E.3W      ,30941,FLG ,Medical Center of Trinity
COCWR     ,H.BIOP    ,30928,FLI ,West Florida Hospital
COCAA     ,G.OR      ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.MOBIMRI,27100,COA ,Swedish Medical Center
COCNV     ,G.SDC-314 ,34293,TNA ,Skyline Medical Center
COCKN     ,MOB S/101 ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,H.PDIRECT ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.ONCNAV ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.OBED    ,30916,FLL ,North Florida Regional Medical
COCMTA    ,J.ERICU   ,26109,TXF ,Methodist Texsan Hospital
COCUH     ,URESP     ,35940,FLB ,University Hospital
COCNH     ,OUYT      ,34329,TXG ,Medical City North Hills
COCSW     ,W.LAB     ,35955,FLC ,Southwest Florida Reg Med Cent
COCYK     ,G.1E      ,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.CPUL    ,34327,TXA ,West Houston Medical Center
COCHN     ,E.IS      ,34296,TNA ,Hendersonville Medical Center
COCGO     ,M.MSIC    ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.NBOP    ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.RHLYMP  ,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,L.EEG     ,8158,GAA ,Coliseum Medical Centers
COCCE     ,CERE      ,35932,FLD ,CEDARS MEDICAL CENTER
COCDL     ,H.PCSC    ,34325,TXG ,Medical City Dallas
COCTU     ,D.LSERPED ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.6NPT    ,9727,KSA ,Research Medical Center
COCRM     ,M.NEU     ,31052,GAA ,Redmond Regional Medical Cente
COCOS     ,N.TELOVFL ,30902,FLF ,Osceola Regional Medical Cente
COCJR     ,z.FIT.ARC7,34627,VAA ,John Randolph Medical Center
COCTR     ,D.SEDBH   ,34001,SCA ,Trident Regional Medical Cente
COCGP     ,G.PET     ,30901,FLG ,St Petersburg General Hospital
COCSN     ,N.SPS     ,34335,TXF ,Methodist Specialty & Transpla
COCAT     ,V.PHONE   ,30920,FLE ,Aventura Hospital & Medical Ce
COCSR     ,AS.ICU    ,27150,COA ,Sky Ridge Medical Center
COCTG     ,MM.H      ,31408,INA ,Terre Haute Regional Hospital
COCDT     ,D.MEDSURB ,36930,FLC ,Doctors Hospital Of Sarasota
COCSZ     ,D.NM      ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.LD      ,30954,FLI ,Capital Regional Medical Cente
COCWM     ,H.OPI1    ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.ENV     ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.DIAL    ,34310,TXG ,Medical City Plano
COCLV     ,F.NDL     ,31824,LAB ,Lakeview Regional Medical Cent
COCMO     ,G.XI84    ,32819,NVA ,Mountainview Hospital
COCDO     ,D.OPNHRT  ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,G.COLW    ,26620,TNB ,Parkridge West Hospital
COCWY     ,W.FSOS    ,31608,KSB ,Wesley Medical Center
COCCC     ,D.CSDC2FLR,34632,VAA ,CJW Medical Center
.         ,ZCVSUPTO  ,37969,FLJ ,JFK Medical Center
COCNB     ,F.OR      ,27450,COA ,North Suburban
COCDR     ,G.HSK     ,38329,TXG ,Medical City Denton
COCCM     ,F.HH      ,9726,KSA ,Centerpoint Medical Center
COCMT     ,M.BCCH    ,34392,TXF ,Metropolitan Methodist Hospita
COCQP     ,GH.LABCHCV,6659,GAA ,Polk Medical Center
COCWF     ,AF.MD     ,30504,CAC ,West Hills Hospital & Medical 
COCSO     ,H.WCC     ,34242,TNA ,Southern Hills Medical Center
COCBM     ,V.HR      ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.PMTWNDW ,34318,TXG ,Medical City Fort Worth
COCST     ,STCSOSP   ,39307,TXB ,Las Palmas Medical Center
COCCBA    ,L.CPN     ,6676,TXI ,St David's Medical Center
COCRR     ,H.EERMED  ,34321,TXA ,Rio Grande Regional Hospital
COCER_O   ,W.PACU    ,25901,OKA ,Edmond OUMC
COCLR     ,SM.PC     ,30936,FLG ,Largo Medical Center
COCBLM    ,K.3S      ,9730,KSA ,Baptist-Lutheran Medical Cente
COCUB     ,X.A5      ,27200,COA ,P-SL Medical Center
COCAS     ,K.2NN     ,34320,TXI ,South Austin Medical Center
COCPN_O   ,EUR.INSWMF,33608,OKA ,OU Medical Center
COCSJ     ,J.CRAN    ,34357,TXA ,Spring Branch Medical Center
COCID     ,D.ANGIP   ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.CVA     ,34372,TXG ,Medical City Lewisville
COCCT     ,M.MED     ,34222,TNA ,Centennial Medical Center
COCNW     ,J.HLD     ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.SUP    ,27300,COA ,Rose Medical Center
COCOH     ,K.ASEC    ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.3WB     ,34224,TNB ,Parkridge Medical Center
COCBR     ,H.RU      ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.PAIN    ,34223,TNA ,Summit Medical Center
COCZR     ,H.CASH    ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.SCLA    ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.OPMAT   ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.SICU    ,30555,CAC ,Los Robles Hospital And Medica
COCCD     ,AF.LG     ,36244,TNA ,Centennial Medical Center At A
COCBP     ,Y.OICMM   ,30951,FLG ,Regional Medical Center Bayone
COCNP     ,E.BHE     ,30941,FLG ,Medical Center of Trinity
COCWR     ,H.EDOPD   ,30928,FLI ,West Florida Hospital
COCAA     ,E.CRNA    ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.EMPH   ,27100,COA ,Swedish Medical Center
COCNV     ,G.SDC-481 ,34293,TNA ,Skyline Medical Center
COCKN     ,519D-ERHLD,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,HP.TSURG  ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.DSSURG ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.LDRW    ,30916,FLL ,North Florida Regional Medical
COCMTA    ,J.SEC     ,26109,TXF ,Methodist Texsan Hospital
COCUH     ,UICU      ,35940,FLB ,University Hospital
COCNH     ,N.GURM    ,34329,TXG ,Medical City North Hills
COCSW     ,W.PACH    ,35955,FLC ,Southwest Florida Reg Med Cent
COCYK     ,PS18      ,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.SCAD    ,34327,TXA ,West Houston Medical Center
COCHN     ,E.PHYD    ,34296,TNA ,Hendersonville Medical Center
COCGO     ,PACD      ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.CEDDIAG ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.PRENATAL,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,L.ZCAS    ,8158,GAA ,Coliseum Medical Centers
COCCE     ,CCS       ,35932,FLD ,CEDARS MEDICAL CENTER
COCDL     ,H.GA1     ,34325,TXG ,Medical City Dallas
COCTU     ,D.ZSIDE   ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.ER      ,9727,KSA ,Research Medical Center
COCRM     ,M.SRFC    ,31052,GAA ,Redmond Regional Medical Cente
COCOS     ,N.DS      ,30902,FLF ,Osceola Regional Medical Cente
COCJR     ,F.Z/DOM   ,34627,VAA ,John Randolph Medical Center
COCTR     ,D.T4FL    ,34001,SCA ,Trident Regional Medical Cente
COCGP     ,G.PX      ,30901,FLG ,St Petersburg General Hospital
COCSN     ,N.LD      ,34335,TXF ,Methodist Specialty & Transpla
COCAT     ,V.AORC    ,30920,FLE ,Aventura Hospital & Medical Ce
COCSR     ,AS.PROD   ,27150,COA ,Sky Ridge Medical Center
COCTG     ,H.EDU     ,31408,INA ,Terre Haute Regional Hospital
COCDT     ,D.PDOC    ,36930,FLC ,Doctors Hospital Of Sarasota
COCSZ     ,D.SEN     ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.MHILL   ,30954,FLI ,Capital Regional Medical Cente
COCWM     ,H.PATC    ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.2CRCR   ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.NSY     ,34310,TXG ,Medical City Plano
COCLV     ,F.OMN     ,31824,LAB ,Lakeview Regional Medical Cent
COCMO     ,G.4S3     ,32819,NVA ,Mountainview Hospital
COCDO     ,D.ENG     ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,G.NHC     ,26620,TNB ,Parkridge West Hospital
COCWY     ,W.O3T     ,31608,KSB ,Wesley Medical Center
COCCC     ,D.JBKST   ,34632,VAA ,CJW Medical Center
.         ,OCCU      ,37969,FLJ ,JFK Medical Center
COCNB     ,F.PROG    ,27450,COA ,North Suburban
COCDR     ,G.DIETDEPT,38329,TXG ,Medical City Denton
COCCM     ,Z.TIACLIN ,9726,KSA ,Centerpoint Medical Center
COCMT     ,M.COT     ,34392,TXF ,Metropolitan Methodist Hospita
COCQP     ,GH.2E     ,6659,GAA ,Polk Medical Center
COCWF     ,AF.XI85   ,30504,CAC ,West Hills Hospital & Medical 
COCSO     ,H.CVICU   ,34242,TNA ,Southern Hills Medical Center
COCBM     ,V.HH      ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.CM      ,34318,TXG ,Medical City Fort Worth
COCST     ,LDCLEANS  ,39307,TXB ,Las Palmas Medical Center
COCCBA    ,L.RTM4    ,6676,TXI ,St David's Medical Center
COCRR     ,H.4MS     ,34321,TXA ,Rio Grande Regional Hospital
COCER_O   ,W.CHO     ,25901,OKA ,Edmond OUMC
COCLR     ,M.LRARBGER,30936,FLG ,Largo Medical Center
COCBLM    ,K.PHYDICT ,9730,KSA ,Baptist-Lutheran Medical Cente
COCUB     ,X.CPN     ,27200,COA ,P-SL Medical Center
COCAS     ,K.SUP     ,34320,TXI ,South Austin Medical Center
COCPN_O   ,E.PICC    ,33608,OKA ,OU Medical Center
COCSJ     ,J.ERH     ,34357,TXA ,Spring Branch Medical Center
COCID     ,D.OV      ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.1NS     ,34372,TXG ,Medical City Lewisville
COCCT     ,M.PLASTOR ,34222,TNA ,Centennial Medical Center
COCNW     ,J.PINE2   ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.POC4CE ,27300,COA ,Rose Medical Center
COCOH     ,K.BO      ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.CARDREC ,34224,TNB ,Parkridge Medical Center
COCBR     ,H.DONOTUSE,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.CVOR    ,34223,TNA ,Summit Medical Center
COCZR     ,H.IMGMAM  ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.TEL     ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.ARNP    ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.TO5N    ,30555,CAC ,Los Robles Hospital And Medica
COCCD     ,AF.HUEGU  ,36244,TNA ,Centennial Medical Center At A
COCBP     ,Y.ORLCHOH ,30951,FLG ,Regional Medical Center Bayone
COCNP     ,E.AM      ,30941,FLG ,Medical Center of Trinity
COCWR     ,H.CVLOP   ,30928,FLI ,West Florida Hospital
COCAA     ,G.ICUD    ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.PAS    ,27100,COA ,Swedish Medical Center
COCNV     ,G.SDC-424 ,34293,TNA ,Skyline Medical Center
COCKN     ,MOB S/542 ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,H.MBU     ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.ICRAD  ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.NU3S    ,30916,FLL ,North Florida Regional Medical
COCMTA    ,J.BIOM    ,26109,TXF ,Methodist Texsan Hospital
COCUH     ,U.CM      ,35940,FLB ,University Hospital
COCNH     ,N.CVA     ,34329,TXG ,Medical City North Hills
COCSW     ,W.ZREY    ,35955,FLC ,Southwest Florida Reg Med Cent
COCYK     ,GM.PACW   ,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.HFC     ,34327,TXA ,West Houston Medical Center
COCHN     ,E.IVT     ,34296,TNA ,Hendersonville Medical Center
COCGO     ,M.MUE     ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.AUD     ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.PARS    ,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,L.NUT     ,8158,GAA ,Coliseum Medical Centers
COCCE     ,C8FLS     ,35932,FLD ,CEDARS MEDICAL CENTER
COCDL     ,H.BB      ,34325,TXG ,Medical City Dallas
COCTU     ,NFLCOCTU  ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.NURADMIN,9727,KSA ,Research Medical Center
COCRM     ,M.LABFMC  ,31052,GAA ,Redmond Regional Medical Cente
COCOS     ,N.CHAP    ,30902,FLF ,Osceola Regional Medical Cente
COCJR     ,z.FIT.ARC1,34627,VAA ,John Randolph Medical Center
COCTR     ,D.OS      ,34001,SCA ,Trident Regional Medical Cente
COCGP     ,G.EDI     ,30901,FLG ,St Petersburg General Hospital
COCSN     ,N.RADM    ,34335,TXF ,Methodist Specialty & Transpla
COCAT     ,NFLCOCAT  ,30920,FLE ,Aventura Hospital & Medical Ce
COCSR     ,AS.SO     ,27150,COA ,Sky Ridge Medical Center
COCTG     ,z.HIT.ARC4,31408,INA ,Terre Haute Regional Hospital
COCDT     ,D.AD      ,36930,FLC ,Doctors Hospital Of Sarasota
COCSZ     ,D.CAD     ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.PED     ,30954,FLI ,Capital Regional Medical Cente
COCWM     ,H.SDS     ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.MB      ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.FAC     ,34310,TXG ,Medical City Plano
COCLV     ,F.VOL     ,31824,LAB ,Lakeview Regional Medical Cent
COCMO     ,G.ICU     ,32819,NVA ,Mountainview Hospital
COCDO     ,V.NS      ,8298,TXA ,Corpus Christi Medical Center
COCSU     ,G.2NORTH  ,26620,TNB ,Parkridge West Hospital
COCWY     ,W.WEC     ,31608,KSB ,Wesley Medical Center
COCCC     ,D.JWHC    ,34632,VAA ,CJW Medical Center
.         ,BIO       ,37969,FLJ ,JFK Medical Center
COCNB     ,F.PR      ,27450,COA ,North Suburban
COCDR     ,G.TRICARE ,38329,TXG ,Medical City Denton
COCCM     ,I.SURG    ,9726,KSA ,Centerpoint Medical Center
COCMT     ,M.LASER   ,34392,TXF ,Metropolitan Methodist Hospita
COCQP     ,GH.PHA    ,6659,GAA ,Polk Medical Center
COCWF     ,AF.PROS   ,30504,CAC ,West Hills Hospital & Medical 
COCSO     ,H.EST     ,34242,TNA ,Southern Hills Medical Center
COCBM     ,V.OUTMRI  ,38340,TXA ,Bayshore Medical Center
COCPZ     ,M.XMCSH   ,34318,TXG ,Medical City Fort Worth
COCST     ,STBHCBO   ,39307,TXB ,Las Palmas Medical Center
COCCBA    ,L.MRI     ,6676,TXI ,St David's Medical Center
COCRR     ,H.PAY     ,34321,TXA ,Rio Grande Regional Hospital
COCER_O   ,W.OBED    ,25901,OKA ,Edmond OUMC
COCLR     ,M.LRPGL   ,30936,FLG ,Largo Medical Center
COCBLM    ,K.NEURO   ,9730,KSA ,Baptist-Lutheran Medical Cente
COCUB     ,X.PBX     ,27200,COA ,P-SL Medical Center
COCAS     ,K.ISS     ,34320,TXI ,South Austin Medical Center
COCPN_O   ,EP.ANWPNC ,33608,OKA ,OU Medical Center
COCSJ     ,J.PCU     ,34357,TXA ,Spring Branch Medical Center
COCID     ,D.IN      ,31202,IDA ,Eastern Idaho RMC
COCLE     ,L.MEDD    ,34372,TXG ,Medical City Lewisville
COCCT     ,M.CC      ,34222,TNA ,Centennial Medical Center
COCNW     ,J.NO      ,30995,FLB ,Northwest Medical Center
COCYE     ,AM.4ICU   ,27300,COA ,Rose Medical Center
COCOH     ,K.HHD     ,30997,FLG ,Oak Hill Hospital
COCPC     ,F.VCNAUP  ,34224,TNB ,Parkridge Medical Center
COCBR     ,H.C2MED   ,30917,FLG ,Brandon Regional Hospital
COCDE     ,D.HIM     ,34223,TNA ,Summit Medical Center
COCZR     ,H.ADVANCE ,34610,VAB ,LewisGale Hospital-Montgomery
COCCF     ,F.ERR     ,34319,TXA ,Woman's Hospital Of Texas
COCGC     ,G.LDRP    ,35954,FLC ,Gulf Coast Hospital
COCRX     ,G.NICU    ,30555,CAC ,Los Robles Hospital And Medica
COCCD     ,AF.ER     ,36244,TNA ,Centennial Medical Center At A
COCBP     ,Y.ORLECCO ,30951,FLG ,Regional Medical Center Bayone
COCNP     ,E.EDCP    ,30941,FLG ,Medical Center of Trinity
COCWR     ,H.OP529D  ,30928,FLI ,West Florida Hospital
COCAA     ,E.LABM    ,27400,COA ,The Medical Center Aurora
COCZS     ,AQ.9MTU   ,27100,COA ,Swedish Medical Center
COCNV     ,G.HEART   ,34293,TNA ,Skyline Medical Center
COCKN     ,CVL       ,35941,FLA ,Kendall Regional Medical Cente
COCHR     ,H.HENRAM  ,34634,VAA ,Henrico Doctors Hospital
COCDAW    ,AD.QM     ,7150,CAC ,Riverside Community Hospital
COCXJ     ,H.Z.CLS   ,30916,FLL ,North Florida Regional Medical
COCMTA    ,J.GIL     ,26109,TXF ,Methodist Texsan Hospital
COCUH     ,UBIO      ,35940,FLB ,University Hospital
COCNH     ,N.2RHB    ,34329,TXG ,Medical City North Hills
COCSW     ,W.ENDG    ,35955,FLC ,Southwest Florida Reg Med Cent
COCYK     ,GM.RADW   ,30927,FLL ,Ocala Regional Medical Center
COCWU     ,Z.CPS     ,34327,TXA ,West Houston Medical Center
COCHN     ,E.LD      ,34296,TNA ,Hendersonville Medical Center
COCGO     ,M.SNU     ,30572,CAA ,Good Samaritan Hospital
COCCBM    ,Q.OICCT   ,34415,UTA ,Ogden Regional Medical Center
COCQE     ,F.RHS     ,32902,NHA ,Portsmouth Regional Hospital
COCCO     ,L.ZACT    ,8158,GAA ,Coliseum Medical Centers
COCCE     ,CVATU     ,35932,FLD ,CEDARS MEDICAL CENTER
COCDL     ,H.LIF     ,34325,TXG ,Medical City Dallas
COCTU     ,D.7CDAY   ,31810,LAB ,Tulane University Hospital & C
COCRC     ,D.BURNCLN ,9727,KSA ,Research Medical Center
COCRM     ,M.VOLFRONT,31052,GAA ,Redmond Regional Medical Cente
COCOS     ,N.SC      ,30902,FLF ,Osceola Regional Medical Cente
COCJR     ,F.CPOE    ,34627,VAA ,John Randolph Medical Center
COCTR     ,D.MRAD    ,34001,SCA ,Trident Regional Medical Cente
COCGP     ,G.IUO     ,30901,FLG ,St Petersburg General Hospital
COCSN     ,N.ABGL    ,34335,TXF ,Methodist Specialty & Transpla
COCAT     ,V.GI      ,30920,FLE ,Aventura Hospital & Medical Ce
COCSR     ,AS.PRED   ,27150,COA ,Sky Ridge Medical Center
COCTG     ,EEG.H     ,31408,INA ,Terre Haute Regional Hospital
COCDT     ,D.PT3     ,36930,FLC ,Doctors Hospital Of Sarasota
COCSZ     ,D.XI99    ,32801,NVA ,Sunrise Hospital And Medical C
COCTL     ,K.HBOOP   ,30954,FLI ,Capital Regional Medical Cente
COCWM     ,H.ZMASH   ,39385,TXF ,Methodist Hospital
COCCBQ    ,E.BEACH   ,30930,FLI ,Gulf Coast Regional Medical Ce
COCPL     ,E.2BSN    ,34310,TXG ,Medical City Plano
COCLV     ,F.HROB    ,31824,LAB ,Lakeview Regional Medical Cent
COCMO     ,G.HH      ,32819,NVA ,Mountainview Hospital
COCDO     ,D.DEND    ,8298,TXA ,Corpus Christi Medical Center
